pmcid,pmid,license,abstract
PMC8565681,34754911,open access (CC),"For breast cancer patients, BRCA gene mutations are predictive of a good response to chemotherapy, but are hampered by a high risk of bilateral and synchronous or metachronous ovarian cancer. Novel therapies such as PARP-inhibitors have proven effective for BRCA1/2 mutated ovarian cancer. We present the case of a 50-year-old woman, initially diagnosed with bilateral luminal B breast cancer with BRCA1 mutation. She received neoadjuvant chemotherapy, modified radical mastectomy and bilateral adnexectomy, while subsequently identifying a synchronous advanced ovarian cancer, stage FIGO IIIC, followed by adjuvant platinum chemotherapy and external radiotherapy. After a 12 months disease-free interval a brainstem tumor was discovered, for which whole-brain radiotherapy was performed. She received 6 months of PARP-inhibitors through an early access program. With only a partial at the end of treatment, the brainstem tumor was still in progression. Due to evolution of the brain metastasis, second line chemotherapy (taxanes and Bevacizumab) was administered, with complete radiologic response. The particularity of this case resides in the coexistence of a breast and ovarian cancer in the same patient with BRCA1-germline mutation who responded to a new line of therapy - the PARP inhibitors. While being unable to perform a biopsy, we speculate that the brain metastasis in this case was most likely of breast origin."
PMC8565700,34754909,open access (CC),"Porocarcinoma is a rare tumor of the eccrine sweat glands that usually disseminates to the regional lymph nodes, but it can also develop distant metastasis. Case presentation: We report the case of a 67 year-old female patient who underwent wide surgical resection of a left cervical cutaneous tumor in a primary care center, for which the histology exam of the specimen was mixed basal cell and squamous cell carcinoma. She was referred to our hospital's oncology clinic and histologic re-evaluation changed the diagnosis to eccrine porocarcinoma (EPC). Computer-tomography (CT) revealed cervical lymphadenopathies for which the patient underwent 4 cycles of chemotherapy, without regression. She subsequently underwent a left upper anterior jugular lymphadenectomy (group IIa) with all nodes being negative and, three months later, she developed a unique adenopathy under the parotid gland that was excised and confirmed to be metastatic. Postoperative external radiotherapy was administered with a good outcome on CT scan. Nine months after her last surgery, the patient did not show any sign of recurrence or distant metastasis. Conclusion: EPC is a challenge, both diagnostically and therapeutically. In the absence of consensus regarding the indications and extent of lymphadenectomy and adjuvant therapy, patients with EPC should be referred to an experienced multidisciplinary team in a tertiary center."
PMC8565701,34754908,open access (CC),"Felty's syndrome (rheumatoid arthritis with neutropenia and splenomegaly) is a rare condition with poor long-term prognosis, mainly as a result of severe infection risk. An effective treatment strategy has not been developed so far and current treatment options are based upon case reports, small series and clinical experience since no randomized clinical trials are available. The authors describe the case of a 53-year-old female patient with a 14-year history of rheumatoid arthritis presenting with fever, neutropenia and splenomegaly. Broad-spectrum antibiotics and granulocyte colony-stimulating factor were administered with good clinical outcome and low dose methotrexate for disease control was successfully initiated after discharge. We would like to highlight the importance of being aware of this syndrome in the differential diagnosis of long term rheumatoid arthritis patients presenting with febrile neutropenia."
PMC8565702,34754907,open access (CC),"Eosinophilic esophagitis is a chronic, antigen-mediated inflammation of the esophagus. The disease is most common at young ages, with a male to female ratio of 3:1. Eosinophilic granulocyte infiltration induced by oral/aeroantigens in the esophagus, mucosal hyperplasia, and fibrosis of the subepithelial layers can lead to constriction, dysphagia, blockage and esophageal perforation. A 36-year-old male patient presented in June 2016 with dysphagia as the main complaint. Workup with plain chest radiography with a water soluble contrast swallow did not reveal any pathological lesions. The patient's swallowing difficulties persisted and one year later he was treated by esophageal food bolus impaction (EFBI) in another institution. A new plain chest radiography with a water soluble contrast swallow confirmed a 9 cm long stricture in the middle third with an EFBI. During gastroscopy, a clinical picture of eosinophilic esophagitis was noted, with partially destroyed foreign body at 25cm and iatrogenic perforation at the upper half of the esophagus. After preoperative intensive care unit valuation and preparation, transhiatal esophagectomy without thoracotomy and cervical esophagostomy was performed with pyloromyotomy and feeding jejunostomy. The postoperative period was uneventful. Histological examination confirmed the presence of strictures and perforation on the background of eosinophilic esophagitis. Elective esophageal reconstruction with cervical esophagogastric anastomosis was performed on January 2018. Control blood tests revealed persistent eosinophilia, while the plain chest radiography with a water soluble contrast swallow showed no contrast leakage. Per os nutrition was resumed and the patient was discharged in good general condition. Eosinophilic esophagitis is a rare and difficult to diagnose entity due to its non-specific clinical presentation. In order to avoid complications and undesired delay in diagnosis, one should take into consideration this entity in every clinical situation of a young male patient with swallowing complaints."
PMC8565699,34754906,open access (CC),"Celiac disease (CD) is an immune-mediated disease, caused by gluten, occurring in people with genetic predisposition. The course of the disease can vary and includes both intestinal and extra-intestinal manifestations. Many patients are undiagnosed for many years and some of them, in particular with nonspecific symptoms or asymptomatic, might never be diagnosed. We present a rare case of a patient, who's first and practically the only symptom of the disease was a pathological fracture of the ribs. In addition, despite the lack of clinical symptoms of malabsorption syndrome, malnutrition and proteinuria, we observed profound hypoalbuminemia and hypoproteinemia. This case suggests that CD diagnostic should be undertaken in evaluation of every patient with osteoporotic fractures and hypoalbuminemia."
PMC8565696,34754905,open access (CC),"Cerebral venous thrombosis is a rare cerebrovascular disease that accounts for approximately 1% of strokes, with an incidence of 3-4 cases / million inhabitants per year, with a significant mortality rate of 10-13%. Pregnancy and puerperal period are physiological states that predispose to thrombosis through hypercoagulability due to hormonal change. These alterations occur in blood flow, vascular wall and clotting factors and while superimposed on a genetically predisposing field, create the optimal conditions for the occurrence of embolic phenomena. Here we present the case of a young, secondipara woman with recurrent thrombotic events, even under optimal anticoagulation therapy, where the extensive laboratory investigations identified the predisposing terrain: the heterozygous mutation of the MTHFR A1289C gene."
PMC8565693,34754904,open access (CC),"Celiac disease is an immune mediated enteropathy in susceptible individuals as a response to gluten containing diets based on wheat, oat, rye and maize. It clinically presents with malabsorption syndrome along with a myriad of extraintestinal manifestations such as anemia, osteoporosis, dermatitis herpetiformis, peripheral neuropathies, ataxia and cognitive impairment. Although the prevalence of these extraintestinal features range from 1 to 15% in these patients, their presence in the absence of intestinal manifestations is very rare. Here we report the case of a middle aged female diagnosed with celiac disease with coexisting gluten sensitive ataxia in the absence of gastrointestinal symptoms."
PMC8565694,34754903,open access (CC),"Undifferentiated carcinoma with osteoclast-like giant cell (UCOGC) is a ductal carcinoma variant with a recently reported more protracted survival and pathognomonic histology comprising two cell populations: the mononuclear tumoral cells and nontumoral multinucleated giant cells. It usually presents as a large heterogenic tumor with mixed solid-cystic components. The tumor develops from the ductal epithelium but the sequence of epithelial changes is often not identified due to the rapid tumoral growth and associated necrotic changes. We report a case of a 76-year-old patient diagnosed with cephalic UCOGC originating in the epithelium of the main pancreatic duct with endoluminal growth and foci of other ductal neoplasms (high-grade pancreatic intraepithelial neoplasia (PanIN) and conventional ductal carcinoma). The particularity of our case consists in the identification of the columnar epithelium conversion, through high-grade PanIN, into UCOGC specific malignant features, in a large size tumor - aspect usually reported in small tumors. Alongside our case we also present a brief literature review of cephalic UCOGC case reports and case series."
PMC7953073,34752535,© The Author(s) 2020.,"Objective: To review and consider risk factors associated with the accumulation of and toxicity from manganese in patients receiving total parenteral nutrition (TPN). Case Summary: A 66-year-old female presented to the emergency department with right facial and arm weakness that initiated 1 hour prior to admission. Past medical history includes oral cancer with chronic aspiration and gastroparesis secondary to chemotherapy, TPN for 9 months, and a previous episode of right facial and arm parasthesias due to hypertensive emergency 4 years prior. The patient was assigned a National Institutes of Health Stroke Scale score of 6, cleared of an intracranial hemorrhage on imaging, and was administered tPA (tissue plasminogen activator) for an acute ischemic stroke after managing her hypertension to <185/110 mm Hg. Resolution of symptoms occurred within 24 hours. A magnetic resonance imaging of the patient's brain 24-hours post-tPA indicated an increased signal density in the globus pallidus, which in turn is linked with encephalopathy and has been described as a marker for hypermanganesemia. Discussion: Manganese is an essential trace element with a critical role in numerous physiologic functions. Though readily obtained from dietary sources and rarely causing issue, manganese provided to patients via TPN may result in toxicities. Though the presentation of neurotoxicities associated with TPN-delivered manganese has been previously documented, the clinical presentation of toxicity has never mimicked an acute ischemic stroke. Conclusion: Though an evaluation of overlapping pathologies is warranted, this patient's clinical presentation of manganese toxicity mimicked an acute ischemic stroke and resulted in the administration of a fibrinolytic. A more comprehensive appreciation of the implications of trace elements is demanded of clinicians."
PMC7898355,33628437,Copyright: © 2021 Brugaletta C et al.,"Background: Many small and malnourished infants under 6 months of age have problems with breastfeeding and restoring effective exclusive breastfeeding is a common treatment goal. Assessment is a critical first step of case management, but most malnutrition guidelines do not specify how best to do this. We aimed to identify breastfeeding assessment tools for use in assessing at-risk and malnourished infants in resource-poor settings. Methods : We systematically searched: Medline and Embase; Web of Knowledge; Cochrane Reviews; Eldis and Google Scholar databases. Also the World Health Organization (WHO), United Nations International Children's Emergency Fund (UNICEF), CAse REport guidelines, Emergency Nutrition Network, and Field Exchange websites. Assessment tool content was analysed using a framework describing breastfeeding 'domains' (baby's behaviour; mother's behaviour; position; latching; effective feeding; breast health; baby's health; mother's view of feed; number, timing and length of feeds). Results : We identified 29 breastfeeding assessment tools and 45 validation studies. Eight tools had not been validated. Evidence underpinning most tools was low quality and mainly from high-income countries and hospital settings. The most comprehensive tools were the Breastfeeding, Evaluation and Education Tool, UNICEF Baby-Friendly Hospital Initiative tools and CARE training package. The tool with the strongest evidence was the WHO/UNICEF B-R-E-A-S-T-Feed Observation Form. Conclusions : Despite many possible tools, there is currently no one gold standard. For assessing malnourished infants in resource-poor settings, UNICEF Baby-Friendly Hospital Initiative tools, Module IFE and the WHO/UNICEF B-R-E-A-S-T-Feed Observation Form are the best available tools but could be improved by adding questions from other tools. Allowing for context, one tool for rapid community-based assessment plus a more detailed one for clinic/hospital assessment might help optimally identify breastfeeding problems and the support required. Further research is important to refine existing tools and develop new ones. Rigorous testing, especially against outcomes such as breastfeeding status and growth, is key."
PMC8515620,34729334,Copyright: © 2020 Journal of Medical Ultrasound.,"Post-traumatic hypoxia can be due to different causes, namely airway problems, pneumothorax, hemothorax, lung contusion, flail chest, traumatic diaphragmatic injuries (TDI), aspiration due to low sensorium, a respiratory paradox in cervical spine injury, severe hypotension, etc., It is a great challenge to identify the cause of hypoxia in a trauma setting because the contributing factors can be multiple or can be a remote cause, which is often missed out. Here, we describe a 50-year-old female who presented to our emergency department with Post-traumatic hypoxia whose sensorium, blood pressure, chest X-ray, E-FAST computed tomography of brain, and other baseline investigation were completely normal, diagnosed later as TDI with the help of diaphragmatic ultrasound and computed tomography of thorax."
PMC8515631,34729332,Copyright: © 2020 Journal of Medical Ultrasound.,"Hemodialysis catheters are commonly placed in the major central vein for the purpose of dialysis. Coiling or looping of guidewire is a rare but reported complication of a central vascular catheter insertion. We report a case in which we encountered a rare complication of looping of the guidewire used for dialysis catheter placement and how we correctly diagnosed and repositioned it under ultrasound guidance. A 68-yearold man diagnosed with Carcinoma of Pyriform Fossa admitted in our ICU had Acute Renal Failure. An attempt to insertion of hemodialysis catheter in left internal jugular vein was made. Following successful puncture, the guide wire was threaded through needle. After five centimeter length of guide wire was threaded, resistance was felt and a loop of guidewire was visualized which was abutting the posterior wall of vein in out-of-plane view, creating a dual-point echogenicity. Under ultrasound guidance, we slowly pulled out the guidewire till the loop disappeared.The catheter was then inserted without repeat puncture of the vessel, thus preventing chance of thrombosis by repeated attempts. Real time USG guidance not only improves the success rates but also decreases the number of attempts and complications related to hemodialysis catheterization. Moreover, it benefits the patients by reducing the risks and discomforts of the procedure by reducing the duration of cannulation. The intelligent use of real-time ultrasound guidance in each step of the central venous catheterization is absolutely the need of the hour to prevent catastrophic yet preventable complications."
PMC8543293,34722728,"Copyright © 2020 by S. Karger AG, Basel.","Transanal rectal resection with a stapling instrument (STARR) has been shown to be effective and safe for the treatment of obstructed defecation syndrome (ODS). Nevertheless, the wide range of complications described in the literature necessitates a rigorous patient selection and a tailored approach for the management of complications. We present here a case of pneumoretroperitoneum which occurred after a STARR procedure for ODS was performed nearly a year after previous anterior and posterior colporrhaphy. The diagnostic workup did not reveal a staple-line defect. Laparoscopy did not show any intra-abdominal pathology. The symptoms resolved under oral antibiotics. The patient was discharged on day 10 after admission. Scarring in the rectovaginal septum from a colporrhaphy 1 year earlier might have contributed to a suboptimal staple-line closure during the STARR procedure, leading to a pneumoretroperitoneum. We discuss this complication and provide a brief review of the literature."
PMC8543275,34720815,"Copyright © 2020 by S. Karger AG, Basel.","Lipofilling techniques are widespread in clinical practice as a complement to breast reconstruction, despite posing some risk. Punctual implant rupture following a fat transfer is one of the possible complications, which has not been properly reported yet and is probably being underdiagnosed. The aim of this paper is to report key facts for appropriate diagnosis of this clinical chart. We present the case of a 47-year-old woman with a bilateral prosthetic breast reconstruction who was treated with autologous fat graft for upper pole enhancing and scar improvement. The patient developed an early unilateral breast capsular contracture after the fat graft procedure, with normal radiological exploration. Surgical findings showed intraprosthetic fat deposits and a punctual implant rupture. Punctual breast implant rupture is a possible complication of lipofilling that is usually not suspected at first consultation and might be underdiagnosed based on radiological findings, so investigating clinical signs should necessarily be a prerequisite to diagnosis."
PMC8543315,34720814,"Copyright © 2020 by S. Karger AG, Basel.","Primary breast malignancy in adolescent women is very rare and differs in several aspects from findings in adult women. A young woman aged 16 years presented with a locally aggressive breast tumor. The patient received cisplatin-based chemotherapy followed by tumor resection assuming a diagnosis of germ cell tumor. Four months later, she developed locally recurrent disease and underwent a mastectomy. No definite diagnosis was agreed upon despite intensive pathological workup. Subsequent management consisted of follow-up only and the patient remains in complete remission 9 years later. This case demonstrates the difficulty of diagnosis and management of rare malignancies in adolescents, and highlights the importance of international and interdisciplinary collaboration in diagnosis and clinical decision-making."
PMC8493982,34703750,Copyright: © 2020 Taiwan J Ophthalmol.,"Cone-rod dystrophy (CORD) is a type of progressive hereditary retinal dystrophies that causes cone predominant photoreceptor degeneration characterized by wide genotypic and phenotypic heterogeneity. Macular cyst (MC) occurs very infrequently in the pediatric age group and has rarely been described in CORD. We report a case of young-onset CORD that was affected by an isolated ABCA4 mutation complicated by the development of MC. Through serial spectral-domain ocular coherence tomography MC has been observed to persist for 24 months before its resolution, followed by retinal thinning and macular atrophy with corresponding visual acuity decline. The formation of MC and visual acuity appeared to be directly correlated in ABCA4 -related CORD and its manifestation is invaluable in predicting eventual visual loss. We further speculate that dysfunctional outer blood-retinal barrier may play a role in the pathophysiology of MC development in CORD."
PMC8493992,34703749,Copyright: © 2020 Taiwan J Ophthalmol.,"The purpose of this study is to describe a surgical technique and report the functional outcome of treating nonarteritic central retinal artery occlusion (CRAO) in 2 eyes of two consecutive male patients. Two males (A) and (B) presented 6 days and few hours, respectively, after symptom onset with the clinical features typical of CRAO, including sudden severe deterioration of vision to counting fingers and a cherry-red spot in the left and right fovea, respectively. While A had been on recent treatment for hypertension and hyperlipidemia, B had no significant medical history. Both patients underwent surgery, A, 9 days, and B, <15 h after symptom onset. Surgery involved a vitrectomy, lowering of intraocular pressure (<3 mmHg), and gradual increase of arterial pressure to 165/100 mmHg (through the slow injection of intravenous adrenaline). Intraoperatively, this resulted in immediate perfusion and visible dilation of the blood-filled central retinal artery (CRA) and retinal arteriolar network and dilatation of the central retinal vein. The final vision settled to 6/60 in A and 6/36+1 in B. Although preoperative macular infarction persisted in both eyes as demonstrated by optical coherence tomography angiography, both patients claim a convincing subjective visual benefit. The procedure appeared to have positively changed the natural history of the disease in both eyes. Vitrectomy with the manipulation of intraocular and arterial pressures significantly increases ocular perfusion along the entire CRA, which can dislodge CRA thrombo-emboli and has the potential to restore retinal perfusion and improve visual outcome if undertaken before irreversible retina damage. This is a relatively straightforward technique and should join the list of surgical techniques for treating CRAO."
PMC8493985,34703748,Copyright: © 2020 Taiwan J Ophthalmol.,"A 25-year-old female presented with sudden onset diminution of vision in the right eye (oculus dextrus [OD]) following blunt trauma after a sports injury. Ocular examination revealed best-corrected visual acuity (BCVA) of 20/30 in OD and fundus revealed commotio retinae, localized preretinal bleed, and a large choroidal rupture (CR). She was managed conservatively at that moment. Three months following trauma, she returned with further deterioration of BCVA (20/80) in OD. Optical coherence tomography angiogram (OCTA) confirmed the presence of choroidal neovascular membrane (CNVM). She was treated with single intravitreal ranibizumab injection. Repeat OCTA after 6 weeks showed the regression of CNVM. Her BCVA improved to 20/30 at 6 months of follow-up. In the index report, we present a unique OCTA guided the diagnosis of posttraumatic CR-associated CNVM and its successful management with single intravitreal ranibizumab."
PMC8488891,34703403,Copyright: © 2021 World Journal of Nuclear Medicine.,"We present a case of Grade II, well-differentiated rectal neuroendocrine tumor in a 39-year-old patient. Following different sequential treatment modalities, the disease progressed both on metabolic (18F-fluorodeoxyglucose positron emission tomography-computed tomography [ 18 F-FDG PET/CT]) and somatostatin receptor (SSTR)-imaging ( 68 Ga-DOTA-Tyr3-octreotate [ 68 Ga-DOTATATE] PET/CT), and the patient received three cycles of peptide receptor radiotherapy (PRRT). Two years later, upon new progression due to the appearance of metabolically active, 68 Ga-DOTATATE PET/CT-negative liver lesions, targeted treatment with everolimus was introduced. Further morphologic and metabolic progression occurred 4 months after everolimus initiation, however, this time liver lesions demonstrated increased SSTR-expression on 68 Ga-DOTATATE PET/CT. Thus, the patient became eligible for a second PRRT course."
PMC8488881,34703402,Copyright: © 2021 World Journal of Nuclear Medicine.,A patient of differentiated follicular thyroid carcinoma with unusual sites of metastases is illustrated with 131 I and 18 F-fluorodeoxyglucose positron emission tomography/computed tomography ( 18 F-FDG PET/CT) imaging findings. The described case harbored extremely rare metastasis to the urinary bladder with multi-organ metastatic disease (including unusual sites of right bronchus and hepatic metastases). There was inter-lesional heterogeneity among the metastatic lesions with regard to the 131 I and FDG uptake in the aforementioned lesions. The detection of such heterogeneity has important implications for patient management in metastatic differentiated thyroid carcinoma.
PMC8512972,34659487,© 2020 The British Elbow & Shoulder Society.,"Scapular fractures are relatively rare injuries usually associated with high-energy trauma and multiple concomitant injuries. Most of scapular fractures do not require surgical intervention. A 42-year-old male sustained an extra-articular scapular body fracture along with multiple rib fractures with flail segments and right pneumothorax treated with intercostal drain. The scapula fracture was treated non-operatively initially, which resulted in very poor outcome. Operative intervention was planned following scans which showed a bony spike from the ventral surface impinging on the chest wall. Bony spur was approached from dorsal side using a three-dimensional anatomical model as a guide for accurate localization. The patient's symptoms including shoulder stiffness and pain on deep inspiration settled down completely following removal of the spur. This case presents a new indication for surgical intervention in scapular body fracture which has not been published before. All the relevant measurements related to the fracture namely gleno-polar angle, lateral border offset and angulation were within published limits of indications for conservative treatment. Despite this, it resulted in poor outcome necessitating surgical intervention."
PMC8512989,34659475,© 2019 The British Elbow & Shoulder Society.,"Triceps tendon ruptures and avulsions are rare injuries and are often associated with systemic diseases. This paper illustrates the unique case of a 20-year-old female patient with pseudohypoparathyroidism, who sustained bilateral triceps avulsion fractures after a fall. She underwent suture anchor fixation, augmented with tension band suture as double row repair with excellent post-operative results. We describe the pathophysiology of this injury and the unique method of fixation, which can be an alternative effective method to repair these injuries."
PMC8500593,34646901,"© 2020 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of The American College of Gastroenterology.","Cocaine use is prevalent worldwide and affects multiple organ systems. Ischemia of the esophagus and small bowel are examples of its gastrointestinal complications. Cocaine-induced pancreatitis is a rare entity. Only 8 cases of cocaine-induced pancreatitis have been described in the literature. We present a rare case of a 61-year-old man cocaine user who presented with his first episode of acute pancreatitis (AP) in which common etiologies of AP were excluded. In addition, we explore the pathophysiology of cocaine-induced AP."
PMC8504300,34646351,© The Author(s) 2020.,"Lecithin-cholesterol acyltransferase (LCAT) deficiency is a rare autosomal recessive condition affecting lipid metabolism with a prevalence of less than 1:1,000,000. Described here is the case of a 29-year-old pregnant woman with a diagnosis of LCAT deficiency (c.140G>A in exon 4), who had three episodes of hypertriglyceridemia-induced pancreatitis and nephrotic-range proteinuria throughout the pregnancy. Furthermore, fetal ultrasounds carried out during the second and third trimester revealed a steady reduction in fetal growth rate, and fetal growth restriction (FGR) was diagnosed. The woman underwent an elective caesarean section at 33 weeks of gestation and delivered a healthy neonate. This case report adds knowledge of the natural history of LCAT deficiency during pregnancy and will be useful in future patient management."
PMC8504304,34646348,© The Author(s) 2020.,"Pineoblastoma is an extremely rare intracranial neoplasm, with increased risk of craniospinal metastasis. There is only one case reported in the literature who presented during pregnancy. Described here is a woman who presented at five months of gestation with recurrence of pineoblastoma, who had previously defaulted adjuvant therapy following surgical decompression. The challenges in the diagnosis and treatment of pineoblastoma and its effects on pregnancy are also discussed."
PMC8504306,34646347,© The Author(s) 2020.,"Hereditary angioedema (HAE) is a rare genetic condition associated with episodic swelling due to dysfunction of bradykinin regulation pathways. This is most frequently caused by low level and/or function of the C1-esterase inhibitor protein (C1INH) which is known as hereditary angioedema with C1 inhibitor deficiency (C1INH-HAE). Pregnancy and labour can precipitate an attack, but the majority of women have an uncomplicated, spontaneous vaginal delivery. Intravenous C1INH is the first-line therapy in pregnancy and breastfeeding. It should be given if any obstetric intervention is planned. Routine prophylactic administration for uncomplicated vaginal birth is not mandatory but may be appropriate if symptoms recur frequently during the third trimester. Pregnant women with C1INH-HAE should deliver in a hospital with C1INH replacement, fiberoptic intubation and front-of-neck access equipment readily available. A documented treatment plan should be developed within a multi-disciplinary team to pre-empt complications. We describe a case of C1INH-HAE diagnosed in pregnancy."
PMC8489999,34631296,Thieme. All rights reserved.,"Background Avascular necrosis of the capitate (AVNC) is an uncommon pathology of the wrist. Several procedures have been described for the treatment of AVNC. The type of treatment varies depending upon the stages. In early stages, revascularization procedures are performed. If secondary osteoarthritis develops, then the treatment options include intercarpal fusion, four corner fusion, prosthesis replacement of the capitate, tendon interposition, and wrist arthrodesis. No long-term study is available for choosing an appropriate method of the treatment for AVNC. Case Description Herein, we report a case of AVNC that was managed by hemi-resection of the capitate with capito-hamate fusion and tendon interposition. One year after surgery, patient was asymptomatic and radiographs revealed fusion of capito-hamate joint and maintenance of the mid-carpal joint space. There was no evidence of carpal collapse. Literature Review All the literature about mid-carpal joint sparing (MCJS) procedures has been reviewed in this report. This is a goal behind writing of this case report as there have been very few publications about these procedures. Clinical Relevance This case illustrates the successful treatment of AVNC by MCJS procedure. The intercarpal fusion and the four corner fusion are one time procedures, and these can be used if the MCJS procedure fails or sometimes, as primary procedure, if the patient gives consent for the same. It appears prudent to save arthrodesis procedures for the future."
PMC8493228,34630974,© 2021 The Author(s).,"Cardiac haemangiomas (CH) are rare benign primary tumours of the heart and constitute nearly 2.8% of primary cardiac tumours. In a-48-year-old female, a cardiac tumour mass over right ventricular out flow area and main pulmonary artery was detected during diagnostic workup for aetiology of recurrent pericardial effusion. Echocardiograhy and pericardial fluid findings were non conclusive. Contrast enhanced Computed tomography (CECT) and Positron emission tomography (PET) scan imaging found the exophytic, moderately hypermetabolic, heterogeneous mass lesion posterolateral to main pulmonary trunk. We did partial resection of lesion without cardiac reconstruction and open incisional biopsy through midline sternotomy incision. Histopathological analysis confirmed this as a case of Capillary type of haemangioma of heart."
PMC8443931,34604468,"Copyright © 2020 by S. Karger AG, Basel.","Hepatocellular carcinoma is a common malignancy usually associated with cirrhosis. Despite being a highly aggressive tumor with several cases of vascular invasion, metastatic disease to the heart is a rare condition. A 65-year-old male cirrhotic patient was admitted with dyspnea, ascites, and lower extremity edema. A transthoracic echocardiogram showed a large mass in the right atrium. Further imaging studies revealed the presence of hepatocellular carcinoma extending from the liver to the right atrium through the inferior vena cava. The cardiac mass was surgically removed to treat the symptoms of right heart failure, but unfortunately the patient died on the 30th day after surgery due to septic shock. O carcinoma hepatocelular é uma neoplasia comum, maioritariamente associada à cirrose hepática. Apesar de se tratar de uma entidade clínica agressiva com predisposição à invasão vascular, a doença metastática com envolvimento cardíaco é rara. Os autores reportam o caso de um homem de 65 anos com cirrose hepática que recorreu ao serviço de urgência por um quadro clínico de dispneia, ascite e edema periférico. Foi realização ecocardiograma transtorácico à admissão, que revelou presença de uma massa a nivel da aurícula direita. A investigação clínica, laboratorial e imagiológica realizada permitiu o diagnóstico de carcinoma hepatocelular com extensão desde o fígado até à aurícula direita através da veia cava inferior. A massa intracardíaca foi removida cirurgicamente para alivio sintomático, no entanto o doente faleceu no 30° dia de pós-operatório devido a choque séptico."
PMC8443955,34604467,"Copyright © 2020 by S. Karger AG, Basel.","The authors present the case of a 62-year-old male presenting with a relapse of ulcerative colitis. He had unprotected anal intercourse with other men and his medical record was remarkable for HIV infection. He was admitted to the emergency department with bloody diarrhea, tenesmus, urgency, and recent weight loss. Laboratory workup revealed de novo mild anemia and mild elevation of inflammation parameters. Endoscopic evaluation displayed loss of normal vascular pattern, edema, erythema, exudation, and superficial ulceration in the distal rectum. Biopsies showed chronic proctitis with mild to moderate activity. The patient was treated with intravenous glucocorticoids, but symptoms persisted. Extensive microbial study allowed the identification of multiple infectious agents with potential for infectious proctitis: cytomegalovirus, Chlamydia trachomatis , and Blastocystis hominis . This case highlights the importance of careful microbial investigation, supporting a detailed clinical history, in patients presenting with symptoms of inflammatory bowel disease flare, particularly in risk groups such as that with sexual risk. Os autores descrevem o caso de um individuo do sexo masculino, com infeção pelo virus da imunodeficiência humana, admitido por agudização de colite ulcerosa. O doente descreve prática de sexo anal desprotegido. No serviço de urgência apresentava-se com queixas de diarreia sanguinolenta, tenesmo, falsas vontades e perda recente de peso. Do estudo efetuado, analiticamente apresentava-se com anemia ligeira de novo , e com elevação ligeira dos parâmetros inflamatorios. A retossigmoid-oscopia flexível realizada apresentava disrupção do normal padrão vascular, edema, eritema, exsudação e ulcerado superficial do reto distal. Foram realizadas biópsias das lesões que demonstraram sinais de proctite crónica com atividade ligeira a moderada. Atendendo à gravidade do quadro, o doente iniciou corticoterapia endovenosa, porém sem resolução dos sintomas. Uma avaliação microbiológica extensa permitiu a identificado de diversos agentes com potencial para causar proctite infeciosa: citomegalovírus, Chlamydia trachomatis e Blastocystis hominis. Este caso realça a importância do estudo micro-biológico, a suportar uma historia clínica detalhada, em doentes que se apresentam com sintomatologia sugestiva de exacerbação de doença inflamatoria intestinal."
PMC8443920,34604466,"Copyright © 2020 by S. Karger AG, Basel.",Retrorectal cystic hamartomas or tailgut cysts are infrequent congenital lesions presenting as presacral masses originating from the embryonic hindgut. They are commonly diagnosed in middle-aged women. Physicians must have a high index of suspicion to diagnose this rare tumor. We report a case of retrorectal hamartoma in a 70-year-old male presenting as rectal bleeding instead of the usual compressive symptoms. The utility of imaging modalities and the paramount importance of histopathology has been described. The treatment modality is surgical excision to prevent the potential malignant transformation. Hamartomas císticos retrorretais ou “tailgut cysts” sao lesóes congénitas pouco frequentes que se originam do intestino posterior embrionário e que se apresentam como massas pré-sagradas. São comumente diagnosticados em mulheres de meia-idade. Os médicos devem ter um elevado grau de suspeição para diagnosticar este tumor raro. Relatamos um caso de um hamartoma retrorretal num homem com 70 anos de idade que se apresentou com retorragias e não com os sintomas mais comuns de obstrução. A utilidade dos exames de imagem e a grande importância da histopatologia foi demonstrada neste caso. A modalidade terapêutica adoptada foi a excisão cirúrgica para prevenir uma transformação maligna potencial.
PMC8483816,34604437,"© 2020 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of The American College of Gastroenterology.","Severe acute respiratory syndrome coronavirus 2/novel coronavirus-19 (COVID-19) has rapidly become a global pandemic since the first cases from Wuhan, China, were reported in December 2019. The pandemic has made it more challenging to treat various gastrointestinal disorders, including acute alcoholic hepatitis (AH). One of the mainstays of treatment for severe AH involves corticosteroids (mainly prednisolone). A concern when treating with prednisolone is the worsening of underlying infection. There may be an additional risk in treating COVID-19-infected patients. We present a case of a patient with severe acute AH and concomitant COVID-19 infection who did well with corticosteroid therapy without evidence for worsening infection."
PMC8483819,34604436,"© 2020 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of The American College of Gastroenterology.","Tubo-ovarian abscess (TOA) is a potentially lethal condition, often requiring a combination of medical and surgical interventions. Endoscopic ultrasound (EUS)-guided drainage is a known modality for safe and effective management of pelvic fluid collections, but its role for the treatment of TOA is not well documented. We report the first known case of successful treatment of a large TOA with EUS-guided transrectal drainage using a lumen-apposing metal stent."
